15455.57,-36432.88,44100.48,27042.09,-43448.38,-23207.81,-55084.91,53288.77,73357.34,-17644.83,58584.68,43529.20,49581.52,-3615.19,64487.88,-22692.63,-45940.80,47442.55,-10793.22,-29012.93,7323.40,-4599.52,40058.59,7238.29,-4619.85,39944.73,50688.23,-89275.35,-12147.95,19676.72,-35361.26,39004.15,60248.81,95028.39,-9571.31,-3118.05,107223.30,-125060.23,71414.67,-39780.18,49634.63,45762.18,-4825.86,8218.71,104013.38,-48046.33,129361.12,34962.38,-57692.45,-28415.34,34215.63,-15314.87,-7989.37,-46413.12,53679.96,-30325.22,40165.15,-44537.66,23695.96,43194.87,-42482.70,-445.58,-3133.53,6315.39,0.00
14457.71,-36446.25,43777.82,26524.89,-43786.75,-22073.53,-55194.68,51990.58,72063.22,-17044.95,58368.46,43183.45,48025.92,-2990.46,62550.09,-23207.27,-45226.49,47233.14,-11063.29,-29679.89,6525.43,-3415.96,38863.38,7761.67,-2167.42,39641.39,52253.89,-88138.63,-11607.81,18141.93,-35521.43,38815.35,59243.41,94877.77,-10297.54,-3709.56,106092.83,-122819.52,70769.68,-39319.96,47152.12,46118.88,-4481.81,7176.93,101994.06,-47510.07,127360.45,33901.73,-55557.66,-28476.60,35123.25,-15368.24,-7510.94,-45504.33,52834.00,-30528.89,40598.93,-44289.79,22788.69,43315.52,-43346.73,707.47,-4794.18,5060.59,0.00
15328.75,-36745.00,43939.86,27096.91,-43611.76,-22786.91,-55503.52,52700.06,73089.75,-17280.38,58361.30,43891.89,49463.91,-3305.37,63988.12,-22726.08,-46112.02,47388.16,-10358.39,-29820.22,7514.31,-4489.10,39590.37,7333.40,-3725.08,39786.25,51244.27,-88888.76,-12213.20,19367.90,-35187.98,39389.32,60550.21,95232.69,-9953.05,-3428.30,106906.21,-124621.81,71029.55,-39973.20,48885.10,46074.66,-4591.34,8030.35,103831.81,-47997.11,128831.95,34822.79,-57283.78,-28331.79,34414.93,-15491.52,-7576.76,-45923.52,53239.57,-30180.92,40329.53,-44755.98,23434.29,43327.74,-42429.03,-187.04,-3675.16,5674.75,0.00
15473.90,-36687.70,44051.48,27207.74,-43555.24,-22993.74,-55312.28,53015.02,73087.31,-17137.46,58698.47,43554.68,49770.05,-3664.18,64599.23,-22513.48,-46287.62,47181.16,-10194.98,-29632.14,7761.03,-4772.08,39633.39,7392.53,-4572.61,39631.93,50933.98,-89056.15,-12498.34,19521.89,-35566.36,39309.20,60437.98,95308.56,-9509.52,-3013.54,107642.35,-125197.72,71291.56,-39546.73,49621.12,45831.84,-4490.83,8626.61,103962.22,-48158.95,129663.36,35086.93,-57778.85,-28383.95,34255.35,-15491.74,-7994.25,-46414.46,53568.24,-30227.83,40202.30,-44753.52,23728.93,42877.42,-42488.15,-384.33,-2892.88,6180.22,0.00
14785.41,-37280.68,44273.71,27352.44,-43968.15,-22225.16,-55869.84,53098.66,72774.55,-17304.71,58725.18,44170.42,49490.46,-3699.90,64161.45,-23376.58,-46362.42,47745.55,-10498.46,-30445.00,7782.15,-4003.33,38733.05,7291.95,-2870.26,39323.09,51802.96,-88301.25,-11900.87,18685.15,-35307.65,39668.97,59902.16,96098.09,-9261.16,-4100.97,107153.06,-124697.83,71170.26,-39060.55,48069.20,45784.20,-4457.43,8271.93,103226.06,-48035.03,128670.57,34415.11,-57455.75,-28712.84,35195.23,-15157.15,-8004.53,-46368.73,53810.11,-30214.56,40971.57,-45403.19,24103.30,43539.58,-43290.51,458.89,-4824.05,5883.22,0.00
16108.99,-36692.34,43575.35,27867.03,-43210.20,-23426.80,-54681.50,52752.20,72613.08,-17237.18,58613.70,43111.51,49095.58,-3976.98,64438.90,-21826.42,-45714.01,47179.71,-10819.64,-28604.00,7396.46,-4343.63,40094.70,8253.70,-5755.12,39417.70,51110.24,-88827.17,-13017.80,19546.40,-35329.18,38562.96,60447.46,94877.73,-8832.94,-2985.04,107380.22,-124737.83,71136.77,-39879.06,50083.47,45777.47,-4329.68,8328.56,104125.49,-47869.89,129202.89,34806.02,-58005.11,-28341.16,33433.98,-15160.51,-8321.10,-46715.22,53386.61,-29893.79,40040.69,-43809.93,23702.69,42501.79,-42213.66,-999.69,-2879.21,7325.03,0.00
15641.11,-36630.30,44663.87,27530.16,-43125.18,-23117.61,-54785.44,53004.86,72719.35,-16598.59,59038.96,42946.98,48957.30,-3437.79,63773.12,-22614.72,-45869.87,46944.49,-10198.34,-29520.00,7599.49,-4176.08,39898.59,7205.57,-4019.79,39265.55,51209.96,-88836.35,-11843.87,19350.61,-35995.77,39286.29,60260.86,94755.27,-9298.63,-3271.83,106938.45,-124868.95,71147.92,-39494.95,49026.10,45409.02,-4785.88,7602.92,103941.54,-47828.66,129018.14,34511.45,-57413.04,-28825.73,34578.05,-15483.80,-7820.88,-47094.11,52953.36,-30453.71,40648.51,-44361.03,23538.09,43236.66,-43444.75,-54.95,-3510.16,6598.78,0.00
15177.42,-36733.77,44070.77,27229.98,-43241.36,-22985.94,-55106.84,53580.59,72993.66,-17429.23,58578.84,43508.90,49793.84,-3405.16,64563.34,-23023.70,-46154.02,47338.06,-10497.97,-29698.23,7222.05,-4611.68,40062.98,7061.20,-4607.69,39763.47,50228.66,-88500.12,-11996.40,19709.21,-35745.49,39360.73,60029.11,95191.58,-9340.59,-3225.77,107425.78,-125316.53,71545.07,-39043.59,49449.28,45594.96,-4722.23,8606.93,103705.70,-48098.30,129772.11,34805.89,-58216.33,-28955.22,34390.88,-15402.80,-8291.49,-46702.77,54032.54,-30457.71,40008.91,-44791.74,24121.05,43199.46,-42931.03,44.55,-3584.12,6486.48,0.00
15321.16,-36509.43,44140.07,27043.38,-43192.33,-22717.00,-54768.02,52903.55,72838.38,-17551.22,58459.87,43121.46,48715.44,-3077.21,63885.04,-22863.29,-45462.32,47481.82,-10915.65,-29136.43,7037.20,-3544.25,39599.01,7543.34,-3968.74,39839.55,51169.88,-88441.34,-12025.12,19065.03,-35796.32,38810.98,59676.53,95002.52,-9279.53,-3449.97,107076.02,-124326.28,71343.73,-39614.77,48641.29,45769.34,-4998.67,7690.25,103194.05,-47888.55,128712.28,34395.48,-57136.85,-28603.53,34628.39,-15213.22,-8036.65,-46438.09,53516.46,-30416.06,40207.16,-44389.84,23621.39,43131.11,-43168.36,-15.39,-3866.20,6173.58,0.00
14999.44,-37101.57,44528.84,27223.04,-43728.89,-22469.44,-55447.02,52875.75,72770.75,-16386.20,59414.18,43444.20,49074.23,-3912.06,64083.11,-23051.94,-45916.50,47197.01,-10229.52,-30147.33,7951.05,-4365.46,39259.59,7370.70,-3610.59,39319.36,51341.23,-88735.66,-11875.08,18942.35,-36398.42,39619.46,59752.35,95562.53,-9508.49,-3098.56,107498.92,-124864.02,71303.16,-38661.81,48586.12,45401.43,-4265.59,8570.18,103294.04,-48086.39,129331.03,34366.95,-57564.95,-28685.23,35144.53,-15499.77,-8131.58,-47078.77,53602.39,-30528.95,40847.62,-44995.99,23744.98,42841.28,-43714.63,389.40,-3487.87,6013.94,0.00
